authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,38,644yWLRfqv3GShFum6kwzs8LPxRFwL8ZhNgZTo3k5iwZ,1103253952,0,1103253952,1165085118,1165.085118,1013718854,0,0,1767027755
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,38,HDenfHTkgTGGCmwAJg4VAtBbLjBX4JcGk2ebf4naPzEN,317256988,0,317256988,335037454,335.037454,324897394,0,0,0
9Fuj63daXBhMA3eat5iZmRWQakriNhX6bQys1wBAh3ke,38,9Mur77QdrmSTwX1z1otPQsHKVMZk7PjLHRYia2oyn7pJ,12999041,0,12999041,12999999,12.999999,13000000,12999040,12999998,1739240735
2QvtetkXoPYTEg23Qsm9TTahzKYsk1JkAZSCkySpAv9A,38,Fi1Smyp8APeGtKxCtH3tP7WHurYy3d6YtBvDWmfyDp4,1,0,1,1,0.000001,-36238,0,0,1743234888
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,38,Ea1CeAHTYS4yxgpK8CpTZSbP8dQuwV5ubxUKcFjCP4EV,1,0,1,1,0.000001,-206433,0,0,1762815909
619vXfQKBh6YuiHZYfWNvfkWLEkxtVFwZxfmKzdrY6MM,38,CBT5iqMdGhRtAea2i1cFxnBTDyGUorZ7FM6k4ZSWLn8J,1,0,1,1,0.000001,-497999,0,0,1753199310
69V9r59ht7wHjVKX9eZN3dzxUNS2bm3SkW1KoptsW6L4,38,DT6sxPpGj73jnMKPy9v2EoaLchQ4a2TBreYLMXZ64VpE,1,0,1,1,0.000001,-4582118,0,0,1741552371
7rBpxQknmK9tj1exbFhCedeRZotReKV8ExV3toKQMeFB,38,ca5rW39DTgAob9TFnFKrEg5LHg15vB4xy8boDRsqeU5,1,0,1,1,0.000001,-2059082,0,0,1750740637
DV4xEyvG892xofioLxryAyhjYua6RFHxtuo95n5xQMSv,38,GZxAzwe4jt3NUojDLzfyeNw7t9xojPptBDpNzYw25Gvj,1,0,1,1,0.000001,-611723,0,0,1772715300
EpFRrvT14dyuzRQZtUbZTPs8mhSAnXQhNDNsxM2z5hsM,38,HmKNvT1jP7ukvvwectDwBCPUVDGsLF5hQ8mWb9AsPAar,1,0,1,1,0.000001,-5594126,0,0,1750711269
FEu3nEuwwK2XEpH55aXrV9SPTXxVG5cpVahrsHXVMvQe,38,4QNw1i2kzHcmxQ8zERS2WrAPUS5ihcERLtRn9gnnSEoL,1,0,1,1,0.000001,-1277331,0,0,1742208712
